name,barcode,category,expiry_date,brand,price,stock
Yogurt Alpura,750100000032,Lácteos,2026-10-20,Alpura,34.78,149
Jabón Oral-B,750100000033,Higiene,2028-11-15,Oral-B,97.32,107
Cloro Downy,750100000034,Limpieza,2028-05-27,Downy,35.81,233
Pasta Dental Colgate,750100000035,Higiene,2028-04-19,Colgate,77.24,49
Papel Higiénico Regio,750100000036,Higiene,2027-06-20,Regio,55.54,168
Yogurt Alpura,750100000037,Lácteos,2028-05-20,Alpura,107.02,157
Frijol Sos,750100000038,Abarrotes,2028-02-28,Sos,46.7,135
Arroz La Costeña,750100000039,Abarrotes,2027-04-24,La Costeña,39.68,41
Palomitas Sabritas,750100000040,Snacks,2028-04-20,Sabritas,111.62,37
Agua Mineral Coca-Cola,750100000041,Bebidas,2028-11-20,Coca-Cola,95.2,148
Leche Nochebuena,750100000042,Lácteos,2027-07-02,Nochebuena,109.5,40
Shampoo Dove,750100000043,Higiene,2026-10-03,Dove,108.89,47
Yogurt Lala,750100000044,Lácteos,2027-01-31,Lala,102.68,189
Limpiador Cloralex,750100000045,Limpieza,2027-02-08,Cloralex,99.09,25
Té Frío Ciel,750100000046,Bebidas,2027-10-17,Ciel,43.73,184
Cacahuates Oreo,750100000047,Snacks,2027-01-30,Oreo,117.52,49
Papel Higiénico Oral-B,750100000048,Higiene,2026-02-25,Oral-B,45.44,46
Té Frío Del Valle,750100000049,Bebidas,2027-04-14,Del Valle,114.49,36
Cacahuates Gamesa,750100000050,Snacks,2026-09-09,Gamesa,77.15,257
Frijol La Costeña,750100000051,Abarrotes,2028-08-05,La Costeña,33.13,119
Yogurt Alpura,750100000052,Lácteos,2027-04-28,Alpura,46.0,24
Leche Nochebuena,750100000053,Lácteos,2027-07-24,Nochebuena,62.59,225
Frijol Sos,750100000054,Abarrotes,2027-08-21,Sos,102.35,32
Arroz La Costeña,750100000055,Abarrotes,2028-04-04,La Costeña,92.79,207
Té Frío Coca-Cola,750100000056,Bebidas,2026-06-18,Coca-Cola,96.46,242
Cacahuates Oreo,750100000057,Snacks,2027-01-03,Oreo,112.15,34
Agua Mineral Del Valle,750100000058,Bebidas,2027-03-26,Del Valle,62.58,22
Papas Gamesa,750100000059,Snacks,2027-08-04,Gamesa,37.62,67
Jugo Bonafont,750100000060,Bebidas,2026-04-09,Bonafont,23.35,28
Aceite Zulka,750100000061,Abarrotes,2027-10-20,Zulka,37.67,58
Leche Alpura,750100000062,Lácteos,2028-04-06,Alpura,77.69,204
Jugo Pepsi,750100000063,Bebidas,2027-08-29,Pepsi,103.7,219
Papas Sabritas,750100000064,Snacks,2028-08-16,Sabritas,79.53,112
Pasta Dental Dove,750100000065,Higiene,2027-06-04,Dove,106.03,243
Té Frío Ciel,750100000066,Bebidas,2028-07-03,Ciel,74.41,215
Arroz La Costeña,750100000067,Abarrotes,2026-10-16,La Costeña,76.24,254
Queso Yoplait,750100000068,Lácteos,2026-07-28,Yoplait,72.57,29
Papas Gamesa,750100000069,Snacks,2028-11-15,Gamesa,78.74,37
Queso Alpura,750100000070,Lácteos,2028-06-28,Alpura,45.96,297
Cacahuates Ruffles,750100000071,Snacks,2028-07-11,Ruffles,62.09,297
Cloro Fabuloso,750100000072,Limpieza,2027-12-14,Fabuloso,44.38,23
Té Frío Ciel,750100000073,Bebidas,2028-09-03,Ciel,45.38,65
Suavizante Cloralex,750100000074,Limpieza,2026-06-09,Cloralex,111.72,143
Té Frío Coca-Cola,750100000075,Bebidas,2026-12-26,Coca-Cola,45.03,31
Jugo Coca-Cola,750100000076,Bebidas,2026-02-11,Coca-Cola,110.43,70
Cloro Downy,750100000077,Limpieza,2027-05-18,Downy,48.71,200
Té Frío Bonafont,750100000078,Bebidas,2026-02-10,Bonafont,59.29,98
Limpiador Ariel,750100000079,Limpieza,2026-07-08,Ariel,117.93,108
Galletas Ruffles,750100000080,Snacks,2026-12-13,Ruffles,91.59,29
Papel Higiénico Oral-B,750100000081,Higiene,2027-10-25,Oral-B,113.17,185
Leche Yoplait,750100000082,Lácteos,2027-08-12,Yoplait,78.96,16
Papel Higiénico Dove,750100000083,Higiene,2027-07-28,Dove,12.57,274
Agua Mineral Ciel,750100000084,Bebidas,2026-04-18,Ciel,52.03,152
Refresco Coca-Cola,750100000085,Bebidas,2028-04-16,Coca-Cola,77.35,140
Aceite La Costeña,750100000086,Abarrotes,2027-08-14,La Costeña,18.84,163
Jabón Regio,750100000087,Higiene,2027-11-10,Regio,54.33,153
Jabón Colgate,750100000088,Higiene,2026-01-24,Colgate,65.11,265
Azúcar Zulka,750100000089,Abarrotes,2028-04-17,Zulka,10.51,246
Limpiador Cloralex,750100000090,Limpieza,2027-09-28,Cloralex,109.09,255
Papel Higiénico Oral-B,750100000091,Higiene,2028-01-10,Oral-B,99.41,230
Azúcar Sos,750100000092,Abarrotes,2027-12-01,Sos,26.4,164
Queso Alpura,750100000093,Lácteos,2026-04-02,Alpura,60.76,12
Frijol Capullo,750100000094,Abarrotes,2026-09-20,Capullo,84.33,287
Cacahuates Gamesa,750100000095,Snacks,2026-10-16,Gamesa,41.78,130
Pasta Dental Colgate,750100000096,Higiene,2028-01-30,Colgate,71.17,136
Papas Ruffles,750100000097,Snacks,2027-05-28,Ruffles,14.53,297
Queso Alpura,750100000098,Lácteos,2028-03-28,Alpura,38.88,73
Detergente Cloralex,750100000099,Limpieza,2028-05-08,Cloralex,110.16,287
Jabón Colgate,750100000100,Higiene,2028-05-03,Colgate,102.23,152
Mantequilla Nochebuena,750100000101,Lácteos,2026-07-26,Nochebuena,116.59,112
Pasta Dental Regio,750100000102,Higiene,2026-09-15,Regio,14.55,258
Jugo Bonafont,750100000103,Bebidas,2027-09-18,Bonafont,115.28,153
Suavizante Cloralex,750100000104,Limpieza,2027-01-20,Cloralex,79.09,179
Jugo Pepsi,750100000105,Bebidas,2026-12-04,Pepsi,72.48,164
Limpiador Cloralex,750100000106,Limpieza,2027-05-22,Cloralex,20.66,46
Galletas Sabritas,750100000107,Snacks,2027-05-30,Sabritas,69.27,248
Papas Oreo,750100000108,Snacks,2026-11-11,Oreo,72.53,243
Leche Alpura,750100000109,Lácteos,2028-06-21,Alpura,50.11,289
Jugo Del Valle,750100000110,Bebidas,2026-06-20,Del Valle,30.22,241
Aceite Capullo,750100000111,Abarrotes,2028-05-05,Capullo,118.38,19
Pasta Dental Colgate,750100000112,Higiene,2028-11-29,Colgate,47.68,284
Arroz Sos,750100000113,Abarrotes,2027-10-19,Sos,45.56,261
Mantequilla Nochebuena,750100000114,Lácteos,2027-03-13,Nochebuena,48.97,267
Jugo Pepsi,750100000115,Bebidas,2026-12-25,Pepsi,21.65,49
Limpiador Downy,750100000116,Limpieza,2028-02-12,Downy,32.08,21
Té Frío Coca-Cola,750100000117,Bebidas,2026-01-14,Coca-Cola,86.42,288
Papas Gamesa,750100000118,Snacks,2027-05-30,Gamesa,73.69,215
Frijol Capullo,750100000119,Abarrotes,2027-12-11,Capullo,37.55,84
Aceite Zulka,750100000120,Abarrotes,2028-05-02,Zulka,62.01,29
Galletas Sabritas,750100000121,Snacks,2027-08-29,Sabritas,14.43,134
Jugo Pepsi,750100000122,Bebidas,2027-11-11,Pepsi,23.9,176
Pasta Dental Regio,750100000123,Higiene,2028-02-20,Regio,35.28,37
Aceite Zulka,750100000124,Abarrotes,2026-02-15,Zulka,85.19,257
Yogurt Lala,750100000125,Lácteos,2027-02-11,Lala,21.16,58
Queso Alpura,750100000126,Lácteos,2026-08-03,Alpura,114.76,284
Leche Nochebuena,750100000127,Lácteos,2026-01-11,Nochebuena,52.59,116
Arroz Sos,750100000128,Abarrotes,2028-11-14,Sos,34.09,227
Azúcar La Costeña,750100000129,Abarrotes,2028-05-12,La Costeña,101.59,197
Suavizante Ariel,750100000130,Limpieza,2026-01-12,Ariel,69.92,160
Pasta Dental Oral-B,750100000131,Higiene,2026-11-19,Oral-B,98.29,145
Galletas Sabritas,750100000132,Snacks,2028-04-03,Sabritas,21.76,184
Jugo Coca-Cola,750100000133,Bebidas,2028-07-23,Coca-Cola,18.06,242
Papas Sabritas,750100000134,Snacks,2028-12-27,Sabritas,13.39,200
Queso Nochebuena,750100000135,Lácteos,2028-07-24,Nochebuena,51.41,33
Jugo Pepsi,750100000136,Bebidas,2028-06-30,Pepsi,110.28,235
Palomitas Gamesa,750100000137,Snacks,2026-05-25,Gamesa,60.41,210
Agua Mineral Pepsi,750100000138,Bebidas,2027-08-31,Pepsi,111.73,10
Jugo Bonafont,750100000139,Bebidas,2028-10-05,Bonafont,115.37,37
Té Frío Del Valle,750100000140,Bebidas,2027-03-26,Del Valle,57.0,53
Refresco Del Valle,750100000141,Bebidas,2026-03-03,Del Valle,70.12,33
Detergente Ariel,750100000142,Limpieza,2026-10-29,Ariel,39.96,54
Leche Yoplait,750100000143,Lácteos,2028-03-28,Yoplait,10.66,83
Queso Yoplait,750100000144,Lácteos,2026-08-26,Yoplait,103.8,128
Refresco Ciel,750100000145,Bebidas,2026-10-06,Ciel,29.1,215
Yogurt Nochebuena,750100000146,Lácteos,2028-03-12,Nochebuena,70.22,42
Jabón Colgate,750100000147,Higiene,2026-05-03,Colgate,13.03,295
Agua Mineral Bonafont,750100000148,Bebidas,2026-05-09,Bonafont,19.12,214
Queso Lala,750100000149,Lácteos,2028-10-25,Lala,55.93,223
Frijol Zulka,750100000150,Abarrotes,2026-12-19,Zulka,108.02,275
Refresco Del Valle,750100000151,Bebidas,2027-11-24,Del Valle,23.01,76
Té Frío Ciel,750100000152,Bebidas,2026-10-04,Ciel,59.58,39
Galletas Sabritas,750100000153,Snacks,2026-07-15,Sabritas,91.38,220
Papel Higiénico Oral-B,750100000154,Higiene,2026-07-11,Oral-B,21.38,16
Papas Sabritas,750100000155,Snacks,2027-03-07,Sabritas,65.63,243
Mantequilla Lala,750100000156,Lácteos,2026-10-24,Lala,44.36,275
Frijol Sos,750100000157,Abarrotes,2027-09-03,Sos,78.24,73
Mantequilla Lala,750100000158,Lácteos,2028-12-22,Lala,44.95,92
Pasta Dental Colgate,750100000159,Higiene,2027-03-08,Colgate,85.54,82
Suavizante Cloralex,750100000160,Limpieza,2026-11-10,Cloralex,29.34,88
Jabón Dove,750100000161,Higiene,2027-09-29,Dove,113.82,108
Detergente Cloralex,750100000162,Limpieza,2026-12-24,Cloralex,110.02,171
Palomitas Oreo,750100000163,Snacks,2028-12-22,Oreo,111.95,153
Cacahuates Ruffles,750100000164,Snacks,2028-07-29,Ruffles,101.33,15
Jabón Regio,750100000165,Higiene,2028-09-10,Regio,112.87,152
Pasta Dental Dove,750100000166,Higiene,2027-06-04,Dove,62.11,42
Galletas Gamesa,750100000167,Snacks,2026-12-19,Gamesa,11.59,250
Mantequilla Nochebuena,750100000168,Lácteos,2027-02-04,Nochebuena,83.01,173
Jugo Coca-Cola,750100000169,Bebidas,2028-01-03,Coca-Cola,82.41,297
Limpiador Downy,750100000170,Limpieza,2026-01-22,Downy,63.92,32
Cacahuates Oreo,750100000171,Snacks,2027-11-09,Oreo,96.88,11
Refresco Coca-Cola,750100000172,Bebidas,2027-02-07,Coca-Cola,112.63,196
Shampoo Dove,750100000173,Higiene,2026-01-10,Dove,87.5,228
Té Frío Del Valle,750100000174,Bebidas,2026-07-05,Del Valle,68.15,172
Galletas Sabritas,750100000175,Snacks,2027-12-31,Sabritas,12.0,51
Yogurt Yoplait,750100000176,Lácteos,2027-08-13,Yoplait,36.81,293
Palomitas Oreo,750100000177,Snacks,2026-01-02,Oreo,78.28,245
Refresco Coca-Cola,750100000178,Bebidas,2028-05-17,Coca-Cola,107.65,103
Pasta Dental Regio,750100000179,Higiene,2028-03-14,Regio,107.64,71
Papas Gamesa,750100000180,Snacks,2027-06-01,Gamesa,32.74,54
Limpiador Cloralex,750100000181,Limpieza,2028-11-16,Cloralex,100.57,161
Refresco Bonafont,750100000182,Bebidas,2026-02-04,Bonafont,32.68,67
Yogurt Alpura,750100000183,Lácteos,2028-10-05,Alpura,74.38,270
Detergente Downy,750100000184,Limpieza,2026-12-12,Downy,33.99,33
Cacahuates Ruffles,750100000185,Snacks,2027-11-07,Ruffles,75.23,149
Pasta Dental Colgate,750100000186,Higiene,2026-07-16,Colgate,15.47,191
Yogurt Lala,750100000187,Lácteos,2027-12-05,Lala,100.85,195
Mantequilla Nochebuena,750100000188,Lácteos,2027-11-19,Nochebuena,39.89,165
Refresco Bonafont,750100000189,Bebidas,2026-08-13,Bonafont,99.03,105
Pasta Dental Oral-B,750100000190,Higiene,2027-08-22,Oral-B,113.13,222
Leche Lala,750100000191,Lácteos,2027-10-01,Lala,97.39,127
Jabón Regio,750100000192,Higiene,2028-04-13,Regio,17.63,254
Limpiador Downy,750100000193,Limpieza,2026-09-04,Downy,36.1,143
Shampoo Regio,750100000194,Higiene,2026-11-04,Regio,89.73,21
Leche Yoplait,750100000195,Lácteos,2028-08-02,Yoplait,18.48,240
Queso Lala,750100000196,Lácteos,2026-09-20,Lala,78.39,237
Cloro Fabuloso,750100000197,Limpieza,2028-02-16,Fabuloso,58.27,183
Mantequilla Yoplait,750100000198,Lácteos,2027-10-25,Yoplait,48.35,240
Agua Mineral Pepsi,750100000199,Bebidas,2027-11-22,Pepsi,53.41,38
Galletas Oreo,750100000200,Snacks,2027-03-15,Oreo,94.03,83
Galletas Oreo,750100000201,Snacks,2027-12-13,Oreo,116.57,17
Cacahuates Ruffles,750100000202,Snacks,2028-05-20,Ruffles,115.17,38
Frijol La Costeña,750100000203,Abarrotes,2028-09-16,La Costeña,97.33,148
Leche Lala,750100000204,Lácteos,2027-09-26,Lala,10.52,64
Galletas Ruffles,750100000205,Snacks,2028-02-20,Ruffles,77.02,98
Refresco Bonafont,750100000206,Bebidas,2026-11-29,Bonafont,103.92,108
Arroz Capullo,750100000207,Abarrotes,2028-02-18,Capullo,52.19,64
Mantequilla Nochebuena,750100000208,Lácteos,2028-11-22,Nochebuena,114.38,15
Shampoo Regio,750100000209,Higiene,2026-07-23,Regio,49.17,38
Papel Higiénico Dove,750100000210,Higiene,2028-03-11,Dove,98.2,297
Aceite Sos,750100000211,Abarrotes,2028-09-09,Sos,20.34,91
Queso Yoplait,750100000212,Lácteos,2028-08-26,Yoplait,96.55,284
Shampoo Dove,750100000213,Higiene,2027-05-24,Dove,92.14,274
Cloro Downy,750100000214,Limpieza,2026-01-13,Downy,119.41,191
Papas Oreo,750100000215,Snacks,2028-07-29,Oreo,14.53,143
Té Frío Coca-Cola,750100000216,Bebidas,2027-06-12,Coca-Cola,66.05,98
Cacahuates Ruffles,750100000217,Snacks,2027-10-24,Ruffles,76.73,67
Frijol La Costeña,750100000218,Abarrotes,2027-04-20,La Costeña,46.26,146
Pasta Dental Dove,750100000219,Higiene,2027-02-02,Dove,11.77,251
Pasta Dental Regio,750100000220,Higiene,2028-04-15,Regio,10.87,185
Té Frío Pepsi,750100000221,Bebidas,2028-06-08,Pepsi,75.07,80
Frijol Zulka,750100000222,Abarrotes,2027-04-29,Zulka,66.91,141
Pasta Dental Dove,750100000223,Higiene,2027-10-30,Dove,108.59,56
Aceite Capullo,750100000224,Abarrotes,2027-09-24,Capullo,49.63,275
Papel Higiénico Regio,750100000225,Higiene,2026-05-26,Regio,102.09,244
Limpiador Cloralex,750100000226,Limpieza,2027-07-24,Cloralex,17.77,26
Agua Mineral Pepsi,750100000227,Bebidas,2027-03-23,Pepsi,29.83,209
Mantequilla Alpura,750100000228,Lácteos,2028-01-10,Alpura,49.41,66
Shampoo Regio,750100000229,Higiene,2026-03-10,Regio,97.88,33
Galletas Oreo,750100000230,Snacks,2028-12-07,Oreo,33.1,112
Queso Lala,750100000231,Lácteos,2027-11-27,Lala,99.42,115
Mantequilla Lala,750100000232,Lácteos,2028-05-02,Lala,98.26,119
Jabón Dove,750100000233,Higiene,2028-11-17,Dove,56.77,71
Aceite Capullo,750100000234,Abarrotes,2027-07-18,Capullo,53.17,52
Mantequilla Lala,750100000235,Lácteos,2026-05-28,Lala,108.23,151
Queso Yoplait,750100000236,Lácteos,2026-02-18,Yoplait,36.17,293
Té Frío Bonafont,750100000237,Bebidas,2028-02-07,Bonafont,20.71,59
Leche Yoplait,750100000238,Lácteos,2028-06-24,Yoplait,114.69,70
Leche Alpura,750100000239,Lácteos,2028-07-09,Alpura,69.03,111
Frijol Capullo,750100000240,Abarrotes,2027-07-24,Capullo,62.13,58
Azúcar Capullo,750100000241,Abarrotes,2028-11-07,Capullo,104.27,171
Refresco Del Valle,750100000242,Bebidas,2028-02-17,Del Valle,118.08,281
Galletas Oreo,750100000243,Snacks,2028-03-31,Oreo,63.37,273
Limpiador Downy,750100000244,Limpieza,2026-11-24,Downy,26.82,292
Jabón Dove,750100000245,Higiene,2026-08-14,Dove,46.45,82
Mantequilla Yoplait,750100000246,Lácteos,2027-11-19,Yoplait,97.16,279
Suavizante Downy,750100000247,Limpieza,2026-01-15,Downy,90.23,148
Cloro Cloralex,750100000248,Limpieza,2028-12-14,Cloralex,76.3,281
Azúcar Sos,750100000249,Abarrotes,2026-03-25,Sos,14.01,137
Galletas Oreo,750100000250,Snacks,2026-10-26,Oreo,19.46,282
Mantequilla Nochebuena,750100000251,Lácteos,2028-04-23,Nochebuena,113.95,82
Azúcar Capullo,750100000252,Abarrotes,2026-08-21,Capullo,13.96,68
Detergente Fabuloso,750100000253,Limpieza,2027-12-07,Fabuloso,55.91,74
Frijol La Costeña,750100000254,Abarrotes,2026-02-11,La Costeña,101.21,135
Azúcar Sos,750100000255,Abarrotes,2026-04-11,Sos,32.39,83
Jugo Del Valle,750100000256,Bebidas,2027-10-23,Del Valle,87.75,104
Agua Mineral Coca-Cola,750100000257,Bebidas,2027-09-24,Coca-Cola,106.27,284
Arroz La Costeña,750100000258,Abarrotes,2026-03-02,La Costeña,54.7,198
Cloro Ariel,750100000259,Limpieza,2027-06-23,Ariel,26.25,180
Jugo Pepsi,750100000260,Bebidas,2027-05-31,Pepsi,42.48,224
Jabón Oral-B,750100000261,Higiene,2028-06-01,Oral-B,99.99,246
Jugo Ciel,750100000262,Bebidas,2026-01-25,Ciel,99.35,57
Papel Higiénico Oral-B,750100000263,Higiene,2028-02-21,Oral-B,103.27,10
Mantequilla Yoplait,750100000264,Lácteos,2027-07-03,Yoplait,75.76,253
Cacahuates Gamesa,750100000265,Snacks,2028-09-23,Gamesa,38.1,117
Agua Mineral Ciel,750100000266,Bebidas,2026-11-05,Ciel,105.66,27
Cacahuates Ruffles,750100000267,Snacks,2027-06-16,Ruffles,51.31,115
Queso Nochebuena,750100000268,Lácteos,2026-06-05,Nochebuena,34.14,263
Queso Alpura,750100000269,Lácteos,2027-10-11,Alpura,46.2,253
Té Frío Coca-Cola,750100000270,Bebidas,2027-12-14,Coca-Cola,14.46,209
Jugo Pepsi,750100000271,Bebidas,2028-04-09,Pepsi,113.78,61
Queso Alpura,750100000272,Lácteos,2026-09-26,Alpura,69.8,20
Frijol La Costeña,750100000273,Abarrotes,2027-04-06,La Costeña,116.33,41
Jugo Coca-Cola,750100000274,Bebidas,2028-09-12,Coca-Cola,25.24,282
Agua Mineral Ciel,750100000275,Bebidas,2028-03-03,Ciel,37.17,245
Cloro Cloralex,750100000276,Limpieza,2027-02-09,Cloralex,97.85,201
Jugo Ciel,750100000277,Bebidas,2028-12-29,Ciel,56.89,267
Frijol Zulka,750100000278,Abarrotes,2026-11-22,Zulka,51.19,66
Palomitas Gamesa,750100000279,Snacks,2027-08-25,Gamesa,88.53,155
Queso Yoplait,750100000280,Lácteos,2027-01-05,Yoplait,95.36,127
Cloro Cloralex,750100000281,Limpieza,2027-09-13,Cloralex,65.46,79
Agua Mineral Coca-Cola,750100000282,Bebidas,2026-10-27,Coca-Cola,50.84,21
Agua Mineral Coca-Cola,750100000283,Bebidas,2028-10-07,Coca-Cola,73.79,157
Cacahuates Gamesa,750100000284,Snacks,2026-06-12,Gamesa,30.53,296
Papas Ruffles,750100000285,Snacks,2028-02-12,Ruffles,48.14,140
Papel Higiénico Colgate,750100000286,Higiene,2028-08-12,Colgate,24.87,72
Mantequilla Alpura,750100000287,Lácteos,2028-09-13,Alpura,17.64,143
Leche Nochebuena,750100000288,Lácteos,2026-06-27,Nochebuena,62.04,53
Azúcar Capullo,750100000289,Abarrotes,2026-08-27,Capullo,95.85,178
Yogurt Alpura,750100000290,Lácteos,2028-01-20,Alpura,51.41,154
Galletas Ruffles,750100000291,Snacks,2027-03-01,Ruffles,75.52,120
Refresco Del Valle,750100000292,Bebidas,2027-04-28,Del Valle,106.8,29
Mantequilla Yoplait,750100000293,Lácteos,2027-11-13,Yoplait,37.6,65
Cacahuates Gamesa,750100000294,Snacks,2026-10-21,Gamesa,23.87,187
Agua Mineral Coca-Cola,750100000295,Bebidas,2027-03-01,Coca-Cola,49.87,115
Queso Alpura,750100000296,Lácteos,2028-02-27,Alpura,18.52,230
Jabón Oral-B,750100000297,Higiene,2026-07-14,Oral-B,21.17,260
Shampoo Oral-B,750100000298,Higiene,2027-09-22,Oral-B,71.71,17
Cacahuates Ruffles,750100000299,Snacks,2028-08-10,Ruffles,90.93,101
Aceite La Costeña,750100000300,Abarrotes,2028-03-17,La Costeña,35.26,214
Arroz La Costeña,750100000301,Abarrotes,2028-05-04,La Costeña,91.44,71
Galletas Gamesa,750100000302,Snacks,2026-05-20,Gamesa,60.67,131
Papas Oreo,750100000303,Snacks,2028-03-21,Oreo,118.47,24
Shampoo Colgate,750100000304,Higiene,2027-04-08,Colgate,87.94,252
Agua Mineral Del Valle,750100000305,Bebidas,2027-11-01,Del Valle,60.72,281
Cloro Downy,750100000306,Limpieza,2028-01-03,Downy,104.15,253
Shampoo Dove,750100000307,Higiene,2027-12-30,Dove,12.41,228
Jugo Pepsi,750100000308,Bebidas,2028-08-04,Pepsi,85.2,276
Shampoo Regio,750100000309,Higiene,2028-06-09,Regio,21.23,141
Limpiador Cloralex,750100000310,Limpieza,2028-03-10,Cloralex,24.75,81
Queso Nochebuena,750100000311,Lácteos,2026-08-05,Nochebuena,59.39,276
Yogurt Yoplait,750100000312,Lácteos,2026-07-02,Yoplait,117.46,132
Jabón Dove,750100000313,Higiene,2026-08-15,Dove,92.35,82
Galletas Sabritas,750100000314,Snacks,2028-11-04,Sabritas,118.63,216
Agua Mineral Coca-Cola,750100000315,Bebidas,2026-03-10,Coca-Cola,118.4,152
Aceite La Costeña,750100000316,Abarrotes,2026-11-26,La Costeña,14.99,180
Refresco Coca-Cola,750100000317,Bebidas,2027-03-29,Coca-Cola,57.99,268
Suavizante Cloralex,750100000318,Limpieza,2028-12-10,Cloralex,22.91,295
Pasta Dental Regio,750100000319,Higiene,2027-08-11,Regio,102.69,31
Suavizante Ariel,750100000320,Limpieza,2027-05-07,Ariel,66.5,216
Leche Yoplait,750100000321,Lácteos,2026-12-12,Yoplait,100.61,117
Té Frío Pepsi,750100000322,Bebidas,2026-06-04,Pepsi,24.01,64
Aceite Sos,750100000323,Abarrotes,2027-07-17,Sos,81.02,141
Cloro Fabuloso,750100000324,Limpieza,2028-03-17,Fabuloso,79.5,195
Limpiador Ariel,750100000325,Limpieza,2028-01-30,Ariel,46.61,260
Papas Gamesa,750100000326,Snacks,2027-07-11,Gamesa,19.49,19
Galletas Ruffles,750100000327,Snacks,2028-01-19,Ruffles,106.11,272
Limpiador Downy,750100000328,Limpieza,2028-09-28,Downy,69.13,59
Palomitas Ruffles,750100000329,Snacks,2028-07-09,Ruffles,38.73,215
Té Frío Bonafont,750100000330,Bebidas,2028-08-29,Bonafont,50.92,98
Shampoo Dove,750100000331,Higiene,2026-10-01,Dove,46.05,260
Limpiador Fabuloso,750100000332,Limpieza,2028-06-24,Fabuloso,30.42,48
Shampoo Colgate,750100000333,Higiene,2028-01-23,Colgate,62.69,112
Palomitas Ruffles,750100000334,Snacks,2026-01-26,Ruffles,28.07,187
Jabón Dove,750100000335,Higiene,2026-09-30,Dove,86.34,204
Arroz Sos,750100000336,Abarrotes,2028-10-03,Sos,102.42,70
Arroz Sos,750100000337,Abarrotes,2028-11-10,Sos,30.42,252
Cacahuates Gamesa,750100000338,Snacks,2028-01-25,Gamesa,16.49,211
Jugo Del Valle,750100000339,Bebidas,2027-09-07,Del Valle,72.69,191
Frijol La Costeña,750100000340,Abarrotes,2028-01-25,La Costeña,112.64,42
Palomitas Sabritas,750100000341,Snacks,2028-05-05,Sabritas,90.63,253
Palomitas Oreo,750100000342,Snacks,2027-09-11,Oreo,89.32,81
Suavizante Fabuloso,750100000343,Limpieza,2028-11-28,Fabuloso,51.74,20
Limpiador Cloralex,750100000344,Limpieza,2028-10-26,Cloralex,12.72,15
Cloro Fabuloso,750100000345,Limpieza,2028-10-02,Fabuloso,48.28,75
Papas Gamesa,750100000346,Snacks,2027-04-27,Gamesa,118.85,54
Palomitas Gamesa,750100000347,Snacks,2028-07-04,Gamesa,59.19,122
Detergente Cloralex,750100000348,Limpieza,2027-01-31,Cloralex,112.53,136
Leche Lala,750100000349,Lácteos,2028-05-01,Lala,117.92,124
Refresco Pepsi,750100000350,Bebidas,2028-07-14,Pepsi,64.58,70
Suavizante Cloralex,750100000351,Limpieza,2026-01-11,Cloralex,16.03,125
Galletas Ruffles,750100000352,Snacks,2026-02-23,Ruffles,85.38,267
